ship_imo_number,co2_real,oof_xgboost,oof_red
9703411,8739.4797,12698.1845703125,11170.825162248075
9703514,1477.1424,1630.1092529296875,1654.7154727798716
9703590,4085.7914,3765.906982421875,3921.595860076387
9703605,2757.1632,2836.664306640625,3047.2342242319346
9703643,3680.2594,3434.025634765625,3685.5251571389435
9703813,3293.8626,3500.350341796875,3470.833677831836
9703837,2126.2897,4450.78857421875,2759.302218598794
9704130,5822.096,11037.4990234375,10342.566383721385
9704441,3042.1433,3306.66357421875,3488.776730851371
9704465,6923.2848,7146.17919921875,7510.350639603286
9704477,850.1737,1047.5364990234375,938.0073410372115
9704491,1207.3188,1309.746826171875,1662.2163213354197
9704506,2846.4302,3172.02587890625,3111.961957830248
9704518,7068.4052,4336.85791015625,5594.263051616121
9704520,10429.3854,9107.302734375,8898.116208460371
9704532,9438.6433,8498.01953125,8102.089866219661
9704609,24134.6404,21001.28515625,20699.58400283417
9704611,35426.4369,39181.73828125,40929.2189155269
9704623,32869.7115,39530.5546875,41393.78663629266
9704738,0.0,46.735801696777344,115.74493270545463
9704740,9951.2239,8537.8740234375,8808.752468151224
9704752,7580.6693,6834.2529296875,6748.250906598612
9704764,0.0,46.735801696777344,110.00984280353077
9704829,2655.8527,1887.421630859375,2034.3710598873258
9704855,936.7668,760.5007934570312,775.4447359580754
9704972,32747.5903,22724.1015625,21716.408597085105
9704984,52811.1918,45932.49609375,41010.213331863786
9704996,23814.4396,18526.306640625,18377.211559307285
9705005,42862.0081,43496.7890625,39099.51247441883
9705067,3341.8535,3552.575439453125,3299.928699767137
9705081,10437.0921,12477.185546875,11424.234526251095
9705146,4103.4936,5240.482421875,5199.9294320554645
9705172,3974.9777,5082.47119140625,5083.793580956905
9705287,4167.8064,3904.771728515625,3991.7090005876316
9705299,3573.1647,3019.353271484375,3127.8983951972796
9705304,1812.166,1468.68115234375,1546.1898510552874
9705328,3809.1721,3945.758056640625,4241.542879829999
9705342,3534.1441,3309.411865234375,3370.869195375357
